name,datePublished,image
The Shepherd from Trutzberg,1959,https://www.dropbox.com/scl/fi/fouolew1q3gu0rapj6d3m/1959_The-Shepherd-from-Trutzberg.png?rlkey=wjusbnx0cv7zk3om1ck0fp1mu&raw=1
Attack of the Moors,1959,https://www.dropbox.com/scl/fi/xdtuj8v50rmjps0yn2olh/1959_Attack-of-the-Moors.png?rlkey=ke780t747sjfrfzgfxb3hnehy&raw=1
Sleeping Beauty,1959,https://www.dropbox.com/scl/fi/8mcjxfvsleh5k5pdvfkv5/1959_Sleeping-Beauty.png?rlkey=gsnkaajq00mmnorb92hbtkg0o&raw=1
Fury of the Pagans,1960,https://www.dropbox.com/scl/fi/ktvjojwielf1qbxbihji3/1960_Fury-of-the-Pagans.png?rlkey=owawe672lh125y6u23pmjrqpc&raw=1
Sword of Sherwood Forest,1960,https://www.dropbox.com/scl/fi/c5okw7l6su01u75fs8fpq/1960_Sword-of-Sherwood-Forest.png?rlkey=697cnqq9vps9el03rhovi5kz1&raw=1
Blood on His Sword,1961,https://www.dropbox.com/scl/fi/us9skb8xmtt43eix6bw2d/1961_Blood-on-His-Sword.png?rlkey=pvmdhqsgxszz3q3kixafd2msa&raw=1
Francis of Assisi,1961,https://www.dropbox.com/scl/fi/ebbr4ltx8ukd8iylcnyw0/1961_Francis-of-Assisi.png?rlkey=rmzdxuh545gv2hfkej2n2c9j2&raw=1
Charge of the Black Lancers,1962,https://www.dropbox.com/scl/fi/lbx79hstc8868kdt0dbu1/1962_Charge-of-the-Black-Lancers.png?rlkey=kkzwc71pe07j4xyy9uwu9sq6m&raw=1
The Magic Sword,1962,https://www.dropbox.com/scl/fi/f7khyia1ysxc4zfsfq6g0/1962_The-Magic-Sword.png?rlkey=bsli2rxae9nhaxi5mnmli8yzc&raw=1
Tower of London,1962,https://www.dropbox.com/scl/fi/m9ah0lkjyrcwa92gfzd96/1962_Tower-of-London.png?rlkey=9ovm16w7wvg44b9d4vq1ora8z&raw=1
Good King Dagobert,1963,https://www.dropbox.com/scl/fi/h7296839xu9d9uy4zmppd/1963_Good-King-Dagobert.png?rlkey=hljti4gr4nxwo25fbbletjjae&raw=1
Kaloyan,1963,https://www.dropbox.com/scl/fi/jam0ml8y48i6nvc3vg0y8/1963_Kaloyan.png?rlkey=xoyg91d4k2c68nhyri034ygvr&raw=1
Siege of the Saxons,1963,https://www.dropbox.com/scl/fi/wn8p859e8cj5n95heyiiq/1963_Siege-of-the-Saxons.png?rlkey=s7361jpvys4moccgi2kx6simy&raw=1
The Tyrant of Castile,1963,https://www.dropbox.com/scl/fi/e7j14kwr10dd88hfncqtx/1963_The-Tyrant-of-Castile.png?rlkey=ckmw9h6ey9hsxe6slz7tuk73e&raw=1
Sword of Lancelot,1963,https://www.dropbox.com/scl/fi/ct5uqplh7lhxa6h59on56/1963_Sword-of-Lancelot.png?rlkey=lfe0dzbtnva0rfng7wpwkrhop&raw=1
The Castilian,1963,https://www.dropbox.com/scl/fi/ug4hf3z3cqhvpwdmcf7ta/1963_The-Castilian.png?rlkey=5ip7ov5q1qqbsv5n2b32hofvq&raw=1
The Sword in the Stone,1963,https://www.dropbox.com/scl/fi/5u9y0krboschqhjjr3f9x/1963_The-Sword-in-the-Stone.png?rlkey=2yfby4ea6c7whb3rn4g0yu70r&raw=1
The Revenge of the Crusader,1964,https://www.dropbox.com/scl/fi/si000su1og2kqf0u2y1qe/1964_The-Revenge-of-the-Crusader.png?rlkey=kqjgxzx3rzcpp5exo5nf43ypz&raw=1
Ivaylo,1964,https://www.dropbox.com/scl/fi/csyogtmt6be49j53cn6rh/1964_Ivaylo.png?rlkey=guc6bioss1mp7g9hae10v36n8&raw=1
The Long Hair of Death,1964,https://www.dropbox.com/scl/fi/rxp5p2g5q7smqobf9d14e/1964_The-Long-Hair-of-Death.png?rlkey=mz0dfs7biqfsf3tz99fib641b&raw=1
Hamlet,1964,https://www.dropbox.com/scl/fi/8n3k7ktlxaq1cotfdythu/1964_Hamlet.png?rlkey=eqskfuzejmzwfs5xee3jekshk&raw=1
Becket,1964,https://www.dropbox.com/scl/fi/x2ma8uprn9yrhzkoauac0/1964_Becket.png?rlkey=13skqa4ei8gsie6jko0noqqgm&raw=1
Isidore the Laborer,1964,https://www.dropbox.com/scl/fi/tcj1wjrk7w4mnxrsr2lvn/1964_Isidro-el-Labrador.png?rlkey=6cfxjuz8q36xzaz8p847bpf8w&raw=1
